file_path,alpha,beta,k,measurement,runtime,score
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,15,1,0.42209887504577637,26273
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,15,2,0.44214367866516113,27086
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,15,3,0.41544198989868164,26254
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,15,4,0.4105668067932129,26101
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,15,5,0.40747976303100586,25304
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,30,1,0.539888858795166,23611
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,30,2,0.5119819641113281,21115
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,30,3,0.5131018161773682,22548
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,30,4,0.6892380714416504,23713
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,30,5,0.4822556972503662,21672
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,45,1,0.6237339973449707,21172
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,45,2,0.6951611042022705,23237
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,45,3,0.6751439571380615,23077
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,45,4,0.8509349822998047,23485
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,45,5,0.8190979957580566,22532
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,60,1,1.0778148174285889,22481
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,60,2,0.7161719799041748,22231
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,60,3,0.7989847660064697,22571
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,60,4,0.7538456916809082,22980
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.60,60,5,0.6716580390930176,21536
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.80,15,1,0.5438721179962158,27234
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.80,15,2,0.4657609462738037,26795
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.80,15,3,0.48103976249694824,27069
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.80,15,4,0.45354318618774414,26352
data/inst_tuning/heur059_n_300_m_7867.txt,.20,.80,15,5,0.4778270721435547,26939
